Plant Name Unit Number,NRC Reactor Unit Web Page ,Docket  Number,NRC Region,Licensee,Reactor and Containment Type,Nuclear Steam System Supplier and Design Type ,Architect-Engineer,Contructor,Construction Permit Issued,Operating License Issued,Commercial Operation,Renewed Operating License Issued,Operating License Expires,Licensed MWt,Note,2014 Capacity Factor (Percent),2013 Capacity Factor (Percent),2012 Capacity Factor (Percent),2011 Capacity Factor (Percent),2010 Capacity Factor (Percent),2009 Capacity Factor (Percent),2008 Capacity Factor (Percent),,2005 Capacity Factor (Percent),2004 Capacity Factor (Percent),2003 Capacity Factor (Percent)
Columbia Generating Station,Columbia Generating Station,5000397,4,Energy Northwest,BWR-MARK 2,GE 5,B&R,BECH,19-Mar-73,13-Apr-84,13-Dec-84,22-May-12,20-Dec-43,3486,,98%,80%,97%,50%,95%,67%,93%,,83%,91%,79%
"Comanche Peak Nuclear Power Plant, Unit 1",Comanche Peak 1,5000445,4,"Luminant Generation Co., LLC",PWR-DRYAMB,WEST 4LP,G&H,BRRT,19-Dec-74,17-Apr-90,13-Aug-90,N/A,8-Feb-30,3612,,85%,94%,98%,91%,91%,100%,96%,,92%,90%,101%
"Comanche Peak Nuclear Power Plant, Unit 2",Comanche Peak 2,5000446,4,"Luminant Generation Co., LLC",PWR-DRYAMB,WEST 4LP,BECH,BRRT,19-Dec-74,6-Apr-93,3-Aug-93,N/A,2-Feb-33,3612,,93%,99%,91%,92%,104%,94%,95%,,92%,99%,83%
Cooper Nuclear Station ,Cooper,5000298,4,Nebraska Public Power District,BWR-MARK 1,GE 4,B&R,B&R,4-Jun-68,18-Jan-74,1-Jul-74,29-Nov-10,18-Jan-34,2419,,88%,97%,87%,86%,100%,72%,90%,,89%,93%,68%
"Davis-Besse Nuclear Power Station, Unit 1",Davis-Besse,5000346,3,First Energy Nuclear Operating Co.,PWR-DRYAMB,B&W RLP,BECH,B&W,24-Mar-71,22-Apr-77,31-Jul-78,8-Dec-15,22-Apr-37,2817,,74%,95%,91%,81%,66%,99%,97%,,94%,75%,-1%
"Diablo Canyon Nuclear Power Plant, Unit 1",Diablo Canyon 1,5000275,4,Pacific Gas & Electric Co.,PWR-DRYAMB,WEST 4LP,PG&E,PG&E,23-Apr-68,2-Nov-84,7-May-85,N/A,2-Nov-24,3411,,87%,95%,84%,100%,88%,84%,98%,,87%,76%,101%
"Diablo Canyon Nuclear Power Plant, Unit 2",Diablo Canyon 2,5000323,4,Pacific Gas & Electric Co.,PWR-DRYAMB,WEST 4LP,PG&E,PG&E,9-Dec-70,26-Aug-85,13-Mar-86,N/A,26-Aug-25,3411,,86%,82%,97%,89%,100%,84%,74%,,99%,84%,81%
"Donald C. Cook Nuclear Plant, Unit 1",D.C. Cook 1,5000315,3,Indiana Michigan Power Co.,PWR-ICECND,WEST 4LP,AEP,AEP,25-Mar-69,25-Oct-74,28-Aug-75,30-Aug-05,25-Oct-34,3304,,94%,78%,104%,87%,88%,3%,64%,,91%,99%,74%
"Donald C. Cook Nuclear Plant, Unit 2",D.C. Cook 2 ,5000316,3,Indiana Michigan Power Co.,PWR-ICECND,WEST 4LP,AEP,AEP,25-Mar-69,23-Dec-77,1-Jul-78,30-Aug-05,23-Dec-37,3468,,101%,85%,91%,104%,84%,87%,101%,,100%,84%,75%
"Dresden Nuclear Power Station, Unit 2",Dresden 2,5000237,3,"Exelon Generation Co., LLC",BWR-MARK 1,GE 3,S&L,UE&C,10-Jan-66,20-Feb-91,9-Jun-70,28-Oct-04,22-Dec-29,2957,"AEC issued a provisional OL on 12/22/1969, allowing commercial operations. The NRC issued a full-term OL on 02/20/1991.",98%,85%,104%,95%,102%,91%,98%,,87%,78%,90%
"Dresden Nuclear Power Station, Unit 3",Dresden 3,5000249,3,"Exelon Generation Co., LLC",BWR-MARK 1,GE 3,S&L,UE&C,14-Oct-66,12-Jan-71,16-Nov-71,28-Oct-04,12-Jan-31,2957,,95%,89%,91%,99%,90%,97%,93%,,93%,85%,94%
Duane Arnold Energy Center,Duane Arnold,5000331,3,"NextEra Duane Arnold, LLC",BWR-MARK 1,GE 4,BECH,BECH,22-Jun-70,22-Feb-74,1-Feb-75,16-Dec-10,21-Feb-34,1912,,79%,89%,83%,99%,89%,92%,103%,,89%,100%,81%
"Edwin I. Hatch Nuclear Plant, Unit 1",Hatch 1,5000321,2,Southern Nuclear Operating Co. ,BWR-MARK 1,GE 4,BECH,GPC,30-Sep-69,13-Oct-74,31-Dec-75,15-Jan-02,6-Aug-34,2804,,89%,94%,89%,98%,85%,94%,84%,,91%,90%,95%
"Edwin I. Hatch Nuclear Plant, Unit 2",Hatch 2,5000366,2,Southern Nuclear Operating Co. ,BWR-MARK 1,GE 4,BECH,GPC,27-Dec-72,13-Jun-78,5-Sep-79,15-Jan-02,13-Jun-38,2804,,99%,89%,98%,78%,96%,67%,96%,,87%,97%,90%
"Fermi, Unit 2",Fermi 2,5000341,3,DTE Electric Company,BWR-MARK 1,GE 4,S&L,DANI,26-Sep-72,15-Jul-85,23-Jan-88,N/A,20-Mar-25,3486,,82%,62%,54%,94%,80%,75%,98%,,90%,87%,83%
"Fort Calhoun Station, Unit 1",Fort Calhoun,5000285,4,Omaha Public Power District,PWR-DRYAMB,CE,GHDR,GHDR,7-Jun-68,9-Aug-73,26-Sep-73,4-Nov-03,9-Aug-33,1500,,100%,1%,0%,28%,102%,100%,83%,,70%,97%,84%
"Grand Gulf Nuclear Station, Unit 1",Grand Gulf 1,5000416,4,"Entergy Operations, Inc.",BWR-MARK 3,GE 6,BECH,BECH,4-Sep-74,1-Nov-84,1-Jul-85,N/A,1-Nov-24,4408,,82%,86%,70%,94%,88%,100%,86%,,91%,92%,99%
"H. B. Robinson Steam Electric Plant, Unit 2",Robinson 2,5000261,2,"Duke Energy Progress, Inc.",PWR-DRYAMB,WEST 3LP,EBSO,EBSO,13-Apr-67,31-Jul-70,7-Mar-71,19-Apr-04,31-Jul-30,2339,,86%,85%,85%,100%,57%,104%,87%,,93%,92%,104%
"Hope Creek Generating Station, Unit 1",Hope Creek 1,5000354,1,"PSEG Nuclear, LLC",BWR-MARK 1,GE 4,BECH,BECH,4-Nov-74,25-Jul-86,20-Dec-86,20-Jul-11,11-Apr-46,3840,,102%,80%,93%,103%,93%,95%,108%,,83%,65%,79%
"Indian Point Nuclear Generating, Unit 2",Indian Point 2,5000247,1,"Entergy Nuclear Operations, Inc.",PWR-DRYAMB,WEST 4LP,UE&C,WDCO,14-Oct-66,28-Sep-73,1-Aug-74,N/A,28-Sep-13,3216,,93%,77%,90%,98%,82%,98%,91%,,99%,88%,99%
"Indian Point Nuclear Generating, Unit 3",Indian Point 3,5000286,1,"Entergy Nuclear Operations, Inc.",PWR-DRYAMB,WEST 4LP,UE&C,WDCO,13-Aug-69,12-Dec-75,30-Aug-76,N/A,12-Dec-15,3216,,98%,94%,100%,90%,99%,85%,107%,,90%,101%,88%
James A. FitzPatrick Nuclear Power Plant,FitzPatrick,5000333,1,"Entergy Nuclear FitzPatrick, LLC.",BWR-MARK 1,GE 4,S&W,S&W,20-May-70,17-Oct-74,28-Jul-75,8-Sep-08,17-Oct-34,2536,,79%,89%,84%,97%,85%,99%,89%,,95%,87%,96%
"Joseph M. Farley Nuclear Plant, Unit 1",Farley 1,5000348,2,Southern Nuclear Operating Co. ,PWR-DRYAMB,WEST 3LP,SSI,DANI,16-Aug-72,25-Jun-77,1-Dec-77,12-May-05,25-Jun-37,2775,,102%,90%,91%,101%,88%,90%,97%,,99%,86%,91%
"Joseph M. Farley Nuclear Plant, Unit 2",Farley 2,5000364,2,Southern Nuclear Operating Co. ,PWR-DRYAMB,WEST 3LP,SSI,BECH,16-Aug-72,31-Mar-81,30-Jul-81,12-May-05,31-Mar-41,2775,,89%,91%,104%,89%,88%,96%,90%,,84%,89%,100%
"LaSalle County Station, Unit  1",La Salle 1,5000373,3,"Exelon Generation Co., LLC",BWR-MARK 2,GE 5,S&L,CWE,10-Sep-73,17-Apr-82,1-Jan-84,N/A,17-Apr-22,3546,,93%,95%,97%,101%,94%,99%,100%,,100%,92%,92%
"LaSalle County Station, Unit  2",La Salle 2,5000374,3,"Exelon Generation Co., LLC",BWR-MARK 2,GE 5,S&L,CWE,10-Sep-73,16-Dec-83,19-Oct-84,N/A,16-Dec-23,3546,,95%,88%,103%,96%,101%,93%,94%,,91%,101%,91%
"Limerick Generating Station, Unit 1",Limerick 1,5000352,1,"Exelon Generation Co., LLC",BWR-MARK 2,GE 4,BECH,BECH,19-Jun-74,8-Aug-85,1-Feb-86,20-Oct-14,26-Oct-44,3515,,91%,101%,85%,96%,91%,101%,95%,,99%,95%,101%
"Limerick Generating Station, Unit 2",Limerick 2,5000353,1,"Exelon Generation Co., LLC",BWR-MARK 2,GE 4,BECH,BECH,19-Jun-74,25-Aug-89,8-Jan-90,20-Oct-14,22-Jun-49,3515,,99%,94%,95%,90%,99%,94%,101%,,91%,99%,94%
