Plant Name Unit Number,NRC Reactor Unit Web Page ,Docket  Number,NRC Region,Licensee,Reactor and Containment Type,Nuclear Steam System Supplier and Design Type ,Architect-Engineer,Contructor,Construction Permit Issued,Operating License Issued,Commercial Operation,Renewed Operating License Issued,Operating License Expires,Licensed MWt,Note,2014 Capacity Factor (Percent),2013 Capacity Factor (Percent),2012 Capacity Factor (Percent),2011 Capacity Factor (Percent),2010 Capacity Factor (Percent),2009 Capacity Factor (Percent),2008 Capacity Factor (Percent),,2005 Capacity Factor (Percent),2004 Capacity Factor (Percent),2003 Capacity Factor (Percent)
"St. Lucie Plant, Unit 2",Saint Lucie 2,5000389,2,Florida Power & Light Co.,PWR-DRYAMB,CE,EBSO,EBSO,2-May-77,10-Jun-83,8-Aug-83,2-Oct-03,6-Apr-43,3020,,82%,91%,68%,66%,100%,80%,99%,,86%,92%,80%
"Salem Nuclear Generating Station, Unit 1",Salem 1,5000272,1,"PSEG Nuclear, LLC",PWR-DRYAMB,WEST 4LP,PSEG,UE&C,25-Sep-68,1-Dec-76,30-Jun-77,30-Jun-11,13-Aug-36,3459,,86%,88%,97%,86%,85%,99%,91%,,92%,72%,94%
"Salem Nuclear Generating Station, Unit 2",Salem 2,5000311,1,"PSEG Nuclear, LLC",PWR-DRYAMB,WEST 4LP,PSEG,UE&C,25-Sep-68,20-May-81,13-Oct-81,30-Jun-11,18-Apr-40,3459,,73%,100%,88%,89%,98%,93%,83%,,90%,88%,82%
"Seabrook Station, Unit 1",Seabrook 1,5000443,1,"NextEra Energy Seabrook, LLC",PWR-DRYAMB,WEST 4LP,UE&C,UE&C,7-Jul-76,15-Mar-90,19-Aug-90,N/A,15-Mar-30,3648,,93%,100%,75%,77%,100%,81%,89%,,89%,100%,91%
"Sequoyah Nuclear Plant, Unit 1",Sequoyah 1,5000327,2,Tenessee Valley Authority ,PWR-ICECND,WEST 4LP,TVA,TVA,27-May-70,17-Sep-80,1-Jul-81,24-Sep-15,17-Sep-40,3455,,100%,83%,89%,98%,84%,89%,101%,,100%,92%,73%
"Sequoyah Nuclear Plant, Unit 2",Sequoyah 2,5000328,2,Tenessee Valley Authority ,PWR-ICECND,WEST 4LP,TVA,TVA,27-May-70,15-Sep-81,1-Jun-82,25-Sep-15,15-Sep-41,3455,,90%,90%,77%,89%,97%,89%,89%,,90%,96%,84%
"Shearon Harris Nuclear Power Plant, Unit 1",Shearon Harris 1,5000400,2,"Duke Energy Progress, Inc.",PWR-DRYAMB,WEST 3LP,EBSO,DANI,27-Jan-78,24-Oct-86,2-May-87,17-Dec-08,24-Oct-46,2900,,99%,83%,90%,103%,90%,94%,99%,,101%,89%,92%
"South Texas Project, Unit 1",South Texas 1,5000498,4,STP Nuclear Operating Co.,PWR-DRYAMB,WEST 4LP,BECH,EBSO,22-Dec-75,22-Mar-88,25-Aug-88,N/A,20-Aug-27,3853,,81%,91%,93%,94%,101%,90%,95%,,88%,99%,61%
"South Texas Project, Unit 2",South Texas 2,5000499,4,STP Nuclear Operating Co.,PWR-DRYAMB,WEST 4LP,BECH,EBSO,22-Dec-75,28-Mar-89,19-Jun-89,N/A,15-Dec-28,3853,,103%,59%,72%,88%,88%,101%,95%,,89%,92%,79%
"Surry Power Station, Unit 1",Surry 1,5000280,2,Virginia Electric & Power Co.,PWR-DRYSUB,WEST 3LP,S&W,S&W,25-Jun-68,25-May-72,22-Dec-72,20-Mar-03,25-May-32,2587,,99%,91%,92%,101%,89%,94%,98%,,96%,92%,76%
"Surry Power Station, Unit 2",Surry 2,5000281,2,Virginia Electric & Power Co.,PWR-DRYSUB,WEST 3LP,S&W,S&W,25-Jun-68,29-Jan-73,1-May-73,20-Mar-03,29-Jan-33,2587,,95%,101%,91%,76%,100%,92%,94%,,93%,101%,79%
"Susquehanna Steam Electric Station, Unit 1",Susquehanna 1,5000387,1,"PPL Susquehanna, LLC",BWR-MARK 2,GE 4,BECH,BECH,3-Nov-73,17-Jul-82,8-Jun-83,24-Nov-09,17-Jul-42,3952,,83%,87%,70%,86%,80%,101%,89%,,95%,80%,96%
"Susquehanna Steam Electric Station, Unit 2",Susquehanna 2,5000388,1,"PPL Susquehanna, LLC",BWR-MARK 2,GE 4,BECH,BECH,3-Nov-73,23-Mar-84,12-Feb-85,24-Nov-09,23-Mar-44,3952,,88%,80%,83%,72%,96%,90%,100%,,89%,100%,86%
"Three Mile Island Nuclear Station, Unit 1",Three Mile Island 1,5000289,1,"Exelon Generation Co., LLC",PWR-DRYAMB,B&W LLP,GIL,UE&C,18-May-68,19-Apr-74,2-Sep-74,22-Oct-09,19-Apr-34,2568,,104%,78%,100%,92%,94%,86%,107%,,98%,102%,90%
Turkey Point Nuclear Generating Unit No. 3,Turkey Point 3,5000250,2,Florida Power & Light Co.,PWR-DRYAMB,WEST 3LP,BECH,BECH,27-Apr-67,19-Jul-72,14-Dec-72,6-Jun-02,19-Jul-32,2644,,84%,81%,40%,96%,88%,86%,101%,,96%,78%,90%
Turkey Point Nuclear Generating Unit No. 4,Turkey Point 4,5000251,2,Florida Power & Light Co.,PWR-DRYAMB,WEST 3LP,BECH,BECH,27-Apr-67,10-Apr-73,7-Sep-73,6-Jun-02,10-Apr-33,2644,,88%,70%,85%,84%,98%,99%,89%,,89%,70%,
"Virgil C. Summer Nuclear Station, Unit 1",Summer,5000395,2,South Carolina Electric & Gas Co.,PWR-DRYAMB,WEST 3LP,GIL,DANI,21-Mar-73,12-Nov-82,1-Jan-84,23-Apr-04,6-Aug-42,2900,,81%,93%,86%,88%,100%,81%,87%,,88%,97%,87%
"Vogtle Electric Generating Plant, Unit 1",Vogtle 1,5000424,2,Southern Nuclear Operating Co. ,PWR-DRYAMB,WEST 4LP,SBEC,GPC,28-Jun-74,16-Mar-87,1-Jun-87,3-Jun-09,16-Jan-47,3625.6,,87%,101%,91%,92%,102%,91%,93%,,91%,100%,93%
"Vogtle Electric Generating Plant, Unit 2",Vogtle 2,5000425,2,Southern Nuclear Operating Co. ,PWR-DRYAMB,WEST 4LP,SBEC,GPC,28-Jun-74,31-Mar-89,20-May-89,3-Jun-09,9-Feb-49,3625.6,,92%,87%,102%,94%,93%,101%,88%,,85%,91%,97%
"Waterford Steam Electric Station, Unit 3",Waterford 3,5000382,4,"Entergy Operations, Inc.",PWR-DRYAMB,COMB CE,EBSO,EBSO,14-Nov-74,16-Mar-85,24-Sep-85,N/A,18-Dec-24,3716,,90%,89%,77%,82%,100%,87%,89%,,78%,101%,89%
"Watts Bar Nuclear Plant, Unit 1",Watts Bar 1,5000390,2,Tenessee Valley Authority ,PWR-ICECND,WEST 4LP,TVA,TVA,23-Jan-73,7-Feb-96,27-May-96,N/A,9-Nov-35,3459,,89%,90%,87%,84%,99%,94%,82%,,90%,100%,87%
"Watts Bar Nuclear Plant, Unit 2",Watts Bar 2,5000391,2,Tenessee Valley Authority ,PWR-ICECND,WEST 4LP,TVA,TVA,24-Jan-73,22-Oct-15,N/A,N/A,22-Oct-55,3411,,,,,,,,,,,,
"Wolf Creek Generating Station, Unit 1",Wolf Creek 1,5000482,4,Wolf Creek Nuclear Operating Corp.,PWR-DRYAMB,WEST 4LP,BECH,DANI,17-May-77,4-Jun-85,3-Sep-85,20-Nov-08,11-Mar-45,3565,"The original OL (NPF-32) was issued on March 11, 1985. This license was superseded by OL( NPF-42) issued on June 4, 1985.",83%,65%,80%,72%,86%,86%,83%,,86%,99%,87%
